query,subject,identity,align_len,mismatch,gap,qstart,qend,sstart,send,evalue,bitscore
top_siRNA,XM_044748560.2,100.0,23,0,0,5,27,2253,2231,0.9,46.1
top_siRNA,OZ201022.1,100.0,23,0,0,5,27,33838034,33838012,0.9,46.1
top_siRNA,OZ201022.1,100.0,22,0,0,5,26,33585875,33585854,3.6,44.1
top_siRNA,OZ201022.1,95.455,22,1,0,15,36,2689393,2689414,871.0,36.2
top_siRNA,AP015034.1,100.0,23,0,0,3,25,4869352,4869330,0.9,46.1
top_siRNA,OX393537.1,100.0,23,0,0,15,37,2500554,2500532,0.9,46.1
top_siRNA,OX384531.1,100.0,23,0,0,4,26,18462732,18462710,0.9,46.1
top_siRNA,XM_011308667.1,100.0,23,0,0,14,36,2820,2798,0.9,46.1
top_siRNA,XM_011308666.1,100.0,23,0,0,14,36,3168,3146,0.9,46.1
top_siRNA,XM_011308665.1,100.0,23,0,0,14,36,2763,2741,0.9,46.1
top_siRNA,XM_011308663.1,100.0,23,0,0,14,36,3130,3108,0.9,46.1
top_siRNA,XM_011308662.1,100.0,23,0,0,14,36,2908,2886,0.9,46.1
top_siRNA,XM_011308661.1,100.0,23,0,0,14,36,3218,3196,0.9,46.1
top_siRNA,OW443379.1,100.0,23,0,0,13,35,48460960,48460938,0.9,46.1
top_siRNA,OZ413832.1,100.0,23,0,0,15,37,2378667,2378645,0.9,46.1
top_siRNA,OZ412286.1,100.0,23,0,0,15,37,2688132,2688110,0.9,46.1
top_siRNA,CP144700.1,100.0,23,0,0,3,25,64443961,64443983,0.9,46.1
top_siRNA,OY979754.1,100.0,23,0,0,7,29,4738600,4738622,0.9,46.1
top_siRNA,OY284440.1,96.296,27,1,0,5,31,28998826,28998852,0.9,46.1
top_siRNA,OY284440.1,100.0,18,0,0,11,28,31594662,31594645,871.0,36.2
top_siRNA,OZ464515.1,100.0,23,0,0,15,37,23124342,23124364,0.9,46.1
top_siRNA,OZ463195.1,100.0,23,0,0,5,27,33683755,33683777,0.9,46.1
top_siRNA,OZ463195.1,95.455,22,1,0,6,27,36687054,36687075,871.0,36.2
top_siRNA,OZ235169.2,100.0,23,0,0,15,37,23234487,23234509,0.9,46.1
